redirect_type,old_path,new_slug,redirect_target,redirect_rule,notes,old_url
EXACT,edge,edge,/docs/edge/,,Path unchanged,https://thingsboard.io/docs/edge/
EXACT,edge/getting-started,edge/getting-started,/docs/edge/getting-started/,,Path unchanged,https://thingsboard.io/docs/edge/getting-started/
EXACT,edge/releases/release-policy,edge/releases/release-policy,/docs/edge/releases/release-policy/,,Path unchanged,https://thingsboard.io/docs/edge/releases/release-policy/
EXACT,edge/releases/releases-table,edge/releases/releases-table,/docs/edge/releases/releases-table/,,Path unchanged,https://thingsboard.io/docs/edge/releases/releases-table/
EXACT,edge/releases/roadmap,edge/releases/roadmap,/docs/edge/releases/roadmap/,,Path unchanged,https://thingsboard.io/docs/edge/releases/roadmap/
EXACT,edge/user-guide/ota-updates,edge/user-guide/ota-updates,/docs/edge/user-guide/ota-updates/,,Path unchanged,https://thingsboard.io/docs/edge/user-guide/ota-updates/
EXACT,getting-started,getting-started,/docs/getting-started/,,Path unchanged,https://thingsboard.io/docs/getting-started/
EXACT,installation,installation,/docs/installation/,,Path unchanged,https://thingsboard.io/docs/installation/
EXACT,iot-gateway,iot-gateway,/docs/iot-gateway/,,Path unchanged,https://thingsboard.io/docs/iot-gateway/
EXACT,iot-gateway/config/bacnet,iot-gateway/config/bacnet,/docs/iot-gateway/config/bacnet/,,Path unchanged,https://thingsboard.io/docs/iot-gateway/config/bacnet/
EXACT,iot-gateway/config/ble,iot-gateway/config/ble,/docs/iot-gateway/config/ble/,,Path unchanged,https://thingsboard.io/docs/iot-gateway/config/ble/
EXACT,iot-gateway/config/can,iot-gateway/config/can,/docs/iot-gateway/config/can/,,Path unchanged,https://thingsboard.io/docs/iot-gateway/config/can/
EXACT,iot-gateway/config/ftp,iot-gateway/config/ftp,/docs/iot-gateway/config/ftp/,,Path unchanged,https://thingsboard.io/docs/iot-gateway/config/ftp/
EXACT,iot-gateway/config/knx,iot-gateway/config/knx,/docs/iot-gateway/config/knx/,,Path unchanged,https://thingsboard.io/docs/iot-gateway/config/knx/
EXACT,iot-gateway/config/modbus,iot-gateway/config/modbus,/docs/iot-gateway/config/modbus/,,Path unchanged,https://thingsboard.io/docs/iot-gateway/config/modbus/
EXACT,iot-gateway/config/mqtt,iot-gateway/config/mqtt,/docs/iot-gateway/config/mqtt/,,Path unchanged,https://thingsboard.io/docs/iot-gateway/config/mqtt/
EXACT,iot-gateway/config/ocpp,iot-gateway/config/ocpp,/docs/iot-gateway/config/ocpp/,,Path unchanged,https://thingsboard.io/docs/iot-gateway/config/ocpp/
EXACT,iot-gateway/config/odbc,iot-gateway/config/odbc,/docs/iot-gateway/config/odbc/,,Path unchanged,https://thingsboard.io/docs/iot-gateway/config/odbc/
EXACT,iot-gateway/config/opc-ua,iot-gateway/config/opc-ua,/docs/iot-gateway/config/opc-ua/,,Path unchanged,https://thingsboard.io/docs/iot-gateway/config/opc-ua/
EXACT,iot-gateway/config/request,iot-gateway/config/request,/docs/iot-gateway/config/request/,,Path unchanged,https://thingsboard.io/docs/iot-gateway/config/request/
EXACT,iot-gateway/config/rest,iot-gateway/config/rest,/docs/iot-gateway/config/rest/,,Path unchanged,https://thingsboard.io/docs/iot-gateway/config/rest/
EXACT,iot-gateway/config/snmp,iot-gateway/config/snmp,/docs/iot-gateway/config/snmp/,,Path unchanged,https://thingsboard.io/docs/iot-gateway/config/snmp/
